#Temps  x  y  z  vx  vy  vz  ax  ay  az
0.558000  0.000906  0.000544  0.001063  0.078720  0.028500  0.071650  -0.230000  -0.750000  -0.460000
0.595000  0.000749  0.000031  0.000748  0.070210  0.000750  0.054630  -0.230000  -0.750000  -0.460000
0.596000  0.000749  0.000030  0.000748  0.070100  -0.000040  0.054280  -0.110000  -0.790000  -0.350000
0.613000  0.000733  -0.000084  0.000697  0.068230  -0.013470  0.048330  -0.110000  -0.790000  -0.350000
0.614000  0.000733  -0.000084  0.000697  0.068120  -0.014260  0.047980  -0.110000  -0.790000  -0.350000
0.615000  0.000733  -0.000085  0.000697  0.068010  -0.015050  0.047630  -0.110000  -0.790000  -0.350000
0.634000  0.000727  -0.000188  0.000628  0.067440  -0.025880  0.040410  -0.030000  -0.570000  -0.380000
0.635000  0.000727  -0.000188  0.000628  0.067410  -0.026450  0.040030  -0.030000  -0.570000  -0.380000
0.674000  0.000705  -0.000621  0.000339  0.066240  -0.048680  0.025210  -0.030000  -0.570000  -0.380000
0.675000  0.000705  -0.000622  0.000339  0.066210  -0.049250  0.024830  -0.030000  -0.570000  -0.380000
0.676000  0.000705  -0.000622  0.000339  0.066180  -0.049820  0.024450  -0.030000  -0.570000  -0.380000
0.676000  0.000705  -0.000622  0.000339  0.066180  -0.049820  0.024450  -0.030000  -0.570000  -0.380000
0.677000  0.000704  -0.000622  0.000339  0.065330  -0.049880  0.024260  -0.850000  -0.060000  -0.190000
0.724000  -0.000235  -0.000688  0.000129  0.025380  -0.052700  0.015330  -0.850000  -0.060000  -0.190000
0.726000  -0.000236  -0.000689  0.000128  0.023840  -0.053020  0.015050  -0.770000  -0.160000  -0.140000
0.734000  -0.000261  -0.000694  0.000124  0.017680  -0.054300  0.013930  -0.770000  -0.160000  -0.140000
0.735000  -0.000261  -0.000694  0.000124  0.016910  -0.054460  0.013790  -0.770000  -0.160000  -0.140000
0.736000  -0.000262  -0.000694  0.000124  0.016140  -0.054620  0.013650  -0.770000  -0.160000  -0.140000
0.753000  -0.000373  -0.000717  0.000104  0.003050  -0.057340  0.011270  -0.770000  -0.160000  -0.140000
