#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.558,-0.08,0.65,0.75,-0.13,-0.03,0.03,0.05,-0.13,0.02,0.00
0.593,-0.08,0.65,0.75,-0.17,-0.03,0.02,0.05,-0.13,0.02,0.00
0.594,-0.08,0.65,0.75,-0.17,-0.03,0.02,-0.00,-0.13,0.02,0.00
0.615,-0.08,0.64,0.77,-0.17,-0.03,0.02,-0.00,-0.13,0.02,0.00
0.616,-0.07,0.64,0.77,-0.17,-0.03,0.02,-0.00,-0.13,0.02,0.00
0.616,-0.06,0.65,0.76,-0.17,-0.03,0.02,-0.00,-0.13,0.02,0.00
0.633,-0.06,0.65,0.76,-0.17,-0.03,0.02,-0.01,-0.21,0.03,0.00
0.636,-0.06,0.65,0.76,-0.13,-0.04,-0.09,-0.01,-0.21,0.03,0.00
0.672,-0.06,0.65,0.76,-0.13,-0.04,-0.09,-0.10,-0.09,0.08,0.00
0.673,-0.05,0.66,0.75,-0.13,-0.04,-0.09,-0.10,-0.09,0.08,0.00
0.673,-0.04,0.65,0.77,-0.13,-0.04,-0.09,-0.10,-0.09,0.08,0.00
0.674,-0.05,0.63,0.78,-0.13,-0.04,-0.09,-0.10,-0.09,0.08,0.00
0.674,-0.05,0.63,0.78,0.04,0.02,-0.04,-0.10,-0.09,0.08,0.00
0.712,-0.05,0.63,0.78,0.04,0.02,-0.04,-0.03,0.03,0.12,0.00
0.713,-0.05,0.63,0.78,0.02,0.02,-0.05,-0.03,0.03,0.12,0.00
0.731,-0.05,0.62,0.79,0.02,0.02,-0.05,-0.03,0.03,0.12,0.00
0.732,-0.04,0.63,0.77,0.02,0.02,-0.05,-0.03,0.03,0.12,0.00
0.732,-0.04,0.63,0.75,0.02,0.02,-0.05,-0.03,0.03,0.12,0.00
0.751,-0.04,0.63,0.75,0.02,0.02,-0.05,0.08,0.02,0.09,0.00
0.751,-0.04,0.63,0.75,0.09,-0.17,0.17,0.08,0.02,0.09,0.00
0.79,-0.04,0.63,0.75,0.09,-0.17,0.17,0.01,0.12,0.09,0.00
0.791,-0.04,0.64,0.74,0.09,-0.17,0.17,0.01,0.12,0.09,0.00
0.791,-0.04,0.64,0.73,0.09,-0.17,0.17,0.01,0.12,0.09,0.00
0.792,-0.06,0.63,0.74,0.09,-0.17,0.17,0.01,0.12,0.09,0.00
0.792,-0.06,0.63,0.74,0.16,-0.16,-0.11,0.01,0.12,0.09,0.00
0.83,-0.06,0.63,0.74,0.17,-0.15,-0.12,0.01,0.12,0.09,0.00
0.832,-0.06,0.63,0.74,0.17,-0.15,-0.12,-0.05,0.18,0.15,0.00
